age,gender,review,education,purchased
41,female,average,School,no
32,female,poor,School,no
26,male,poor,School,yes
50,male,average,PG,no
49,female,good,PG,yes
23,female,good,School,no
21,male,average,School,yes
25,female,poor,School,no
27,female,good,UG,yes
58,male,poor,PG,no
28,female,average,School,no
61,female,average,School,yes
45,female,good,UG,yes
56,female,good,PG,yes
22,male,poor,School,yes
42,female,good,PG,no
42,male,average,School,no
56,female,average,UG,no
47,female,average,UG,yes
51,female,poor,PG,yes
34,male,good,UG,no
53,female,poor,PG,no
18,female,poor,School,yes
61,female,good,UG,yes
64,male,average,School,no
25,female,good,School,no
61,male,good,UG,no
52,male,good,UG,no
35,female,poor,UG,no
59,male,good,School,yes
39,male,average,PG,yes
25,female,good,PG,no
36,male,average,School,no
45,female,average,School,yes
28,male,average,School,yes
47,male,poor,UG,no
18,female,poor,PG,yes
64,female,poor,PG,yes
64,female,good,PG,no
34,male,poor,PG,no
50,female,good,PG,no
29,female,average,PG,no
50,female,good,School,yes
24,female,average,School,yes
58,female,good,UG,no
37,female,poor,School,yes
58,female,average,School,no
50,male,good,PG,no
56,female,good,UG,no
30,male,poor,PG,no
27,male,poor,UG,yes
41,female,poor,School,no
28,male,good,School,yes
52,male,poor,PG,yes
51,male,good,PG,no
18,male,poor,PG,no
56,male,good,School,yes
38,male,average,School,no
49,male,poor,School,no
19,male,average,UG,no
25,male,good,PG,yes
41,male,average,UG,yes
37,female,poor,School,yes
33,male,poor,School,no
21,male,good,UG,no
33,female,poor,PG,no
54,female,average,PG,no
23,female,poor,School,yes
23,male,average,School,yes
64,male,poor,School,no
49,male,good,PG,yes
22,female,poor,UG,yes
52,male,good,School,yes
26,male,poor,School,yes
26,female,good,UG,no
60,female,average,PG,no
48,female,average,School,no
53,male,average,PG,yes
28,male,average,School,yes
34,male,good,PG,no
51,male,good,UG,no
56,female,average,School,yes
45,male,average,School,no
31,male,average,School,no
52,female,poor,School,no
64,female,average,School,no
62,female,good,UG,no
30,male,good,School,no
63,female,good,School,yes
37,male,poor,PG,no
43,female,poor,School,no
60,female,poor,PG,yes
59,male,poor,UG,no
41,female,good,PG,no
46,female,poor,PG,yes
51,female,poor,UG,no
46,male,poor,UG,no
25,female,average,PG,yes
33,male,good,PG,yes
32,female,poor,UG,no
22,female,average,UG,yes
39,female,good,UG,no
19,female,poor,UG,yes
55,female,good,UG,yes
53,female,good,PG,yes
32,male,average,UG,yes
55,male,poor,School,yes
32,female,good,School,yes
18,female,average,School,no
22,male,good,School,no
63,female,good,UG,no
58,female,average,School,yes
21,female,good,PG,no
32,male,average,School,yes
22,female,poor,UG,no
20,female,good,School,no
39,male,poor,PG,yes
22,female,poor,UG,yes
50,male,good,UG,yes
33,female,average,UG,no
35,female,good,School,no
60,female,good,School,no
49,female,average,UG,no
31,female,average,School,yes
52,male,good,PG,no
26,male,average,UG,no
64,male,poor,PG,no
54,male,average,PG,no
54,female,poor,School,no
48,female,poor,School,yes
33,male,poor,UG,yes
48,female,average,PG,no
44,female,average,School,no
30,female,good,PG,yes
24,male,average,School,no
24,male,average,PG,no
60,female,poor,UG,yes
45,male,average,School,no
40,female,average,UG,no
45,male,poor,PG,no
44,female,average,PG,no
47,female,poor,UG,no
64,female,average,PG,no
21,female,average,School,yes
61,female,good,School,no
59,female,average,PG,no
59,female,poor,PG,no
24,female,average,PG,yes
21,female,good,PG,no
43,female,average,School,yes
64,female,average,School,no
39,male,poor,PG,yes
24,male,good,UG,no
33,male,average,UG,no
30,female,average,School,no
30,male,poor,UG,no
52,male,average,PG,yes
46,male,average,UG,yes
26,male,average,School,no
45,female,good,PG,no
29,female,average,PG,yes
35,female,poor,School,yes
47,male,good,UG,yes
33,male,average,School,yes
22,female,average,School,yes
46,male,good,UG,yes
53,female,average,PG,yes
24,male,average,UG,yes
21,female,poor,UG,yes
59,male,good,PG,no
52,male,poor,PG,no
18,female,average,School,no
23,male,poor,UG,yes
33,male,average,PG,yes
28,female,good,UG,yes
44,male,good,UG,yes
49,female,good,PG,no
48,male,poor,PG,no
31,male,poor,UG,no
43,female,average,PG,yes
21,female,good,UG,no
28,female,poor,PG,no
42,female,average,School,no
18,female,poor,PG,yes
42,male,average,UG,yes
34,male,poor,PG,yes
47,female,poor,UG,yes
36,female,poor,PG,yes
45,male,good,UG,no
62,male,good,UG,yes
64,female,poor,PG,yes
53,female,average,UG,no
60,male,average,School,no
63,male,good,School,yes
49,male,good,PG,no
27,male,good,UG,yes
30,female,poor,UG,yes
36,male,average,UG,no
31,male,good,PG,yes
21,male,poor,PG,no
55,female,good,School,no
65,male,average,UG,no
52,female,average,School,no
21,female,good,PG,yes
65,female,poor,PG,no
38,female,average,School,no
21,female,average,UG,yes
21,female,average,UG,yes
55,male,good,UG,no
48,male,poor,PG,yes
50,male,poor,UG,no
51,male,poor,UG,no
28,female,poor,School,yes
21,male,poor,School,yes
50,male,good,School,no
23,male,good,School,no
29,male,poor,PG,yes
22,male,poor,UG,yes
56,male,good,PG,no
22,male,good,UG,no
61,female,poor,PG,no
33,female,poor,UG,yes
43,female,good,UG,no
25,female,average,UG,yes
54,male,poor,PG,yes
33,male,average,School,yes
55,female,poor,School,no
56,female,poor,PG,no
20,female,poor,UG,yes
57,male,poor,UG,yes
23,male,average,PG,no
44,female,good,School,no
60,male,good,School,yes
55,female,average,UG,no
54,male,good,School,no
51,male,good,School,no
38,male,good,School,no
34,female,good,UG,yes
31,male,good,School,no
60,male,poor,UG,no
63,male,average,PG,yes
38,male,good,PG,yes
33,female,good,UG,yes
34,female,good,School,no
43,female,poor,PG,no
26,male,good,UG,yes
60,female,good,School,no
59,female,average,PG,no
37,female,poor,UG,yes
47,female,good,School,no
38,female,average,School,no
22,female,average,UG,yes
18,male,average,School,yes
47,male,average,PG,yes
57,female,good,UG,no
54,female,average,School,yes
24,female,poor,School,no
22,male,poor,School,no
52,male,good,School,no
31,male,average,School,no
50,male,poor,UG,yes
34,female,average,PG,yes
26,male,poor,PG,yes
40,male,poor,UG,no
22,female,poor,School,no
33,female,good,PG,yes
41,female,poor,PG,yes
36,male,average,PG,yes
28,female,good,School,yes
46,female,good,UG,yes
52,male,poor,PG,yes
63,female,good,UG,no
37,female,poor,PG,no
57,female,average,UG,yes
59,female,good,School,yes
51,female,poor,School,no
18,male,good,School,yes
60,male,good,UG,no
53,female,average,School,yes
37,female,poor,School,no
60,female,poor,PG,yes
24,female,average,UG,no
26,female,average,UG,no
34,male,poor,PG,yes
25,female,good,School,no
24,male,average,PG,no
65,female,average,School,yes
53,female,good,UG,no
27,female,poor,School,no
35,male,good,PG,yes
36,female,average,School,yes
56,male,good,PG,yes
31,female,poor,School,yes
63,female,average,UG,no
39,male,good,UG,no
31,male,poor,UG,yes
61,female,poor,School,yes
58,female,poor,PG,yes
34,female,poor,UG,no
50,male,poor,PG,yes
49,male,poor,UG,no
34,female,average,UG,no
21,male,poor,UG,yes
23,female,poor,UG,yes
58,female,poor,PG,no
45,female,good,PG,no
35,male,average,School,no
20,male,average,PG,no
18,male,good,School,no
39,male,poor,PG,no
26,female,good,PG,yes
58,male,good,UG,yes
34,female,good,School,no
28,male,average,UG,yes
65,male,average,PG,yes
46,male,average,PG,no
53,female,poor,UG,yes
63,male,poor,School,yes
45,male,good,PG,yes
53,female,average,PG,yes
18,female,average,UG,no
25,female,poor,PG,no
22,female,poor,PG,no
62,female,average,PG,no
27,female,average,School,yes
52,male,poor,PG,yes
20,female,poor,PG,no
41,male,average,PG,no
55,female,good,UG,yes
53,male,good,PG,no
27,male,good,School,yes
45,male,good,PG,yes
26,female,average,PG,yes
20,female,good,School,no
37,female,good,PG,yes
41,female,poor,UG,yes
20,male,good,School,yes
40,female,poor,PG,yes
31,female,poor,UG,yes
61,female,average,PG,yes
33,male,average,School,no
60,female,average,UG,yes
24,female,average,School,yes
40,female,poor,PG,yes
53,female,average,PG,no
44,female,poor,UG,no
57,female,average,UG,yes
65,female,good,PG,yes
27,male,good,School,yes
33,male,poor,PG,yes
28,female,good,PG,no
29,male,good,PG,yes
44,female,poor,School,no
19,male,good,School,no
29,female,good,PG,yes
65,female,good,UG,no
39,female,average,School,yes
44,female,poor,PG,yes
60,male,average,PG,no
65,female,good,PG,no
33,male,good,UG,no
35,male,average,School,yes
28,female,good,PG,yes
62,male,poor,School,no
